isbn,genre,cover,title,authors,publisher,year,preco_medio,collection,volume,pages,type,preco_correto
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/amarelo_seletivo.jpg,Amarelo seletivo,Ricardo Tayra,Conrad,2024,11.25,HQ para todos,0,32,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/a_insustentavel_leveza_do_ser.jpg,A insustentável leveza do ser,Laerte,Conrad,2024,11.21,HQ para todos,0,32,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/ato_5.jpg,Ato 5,André Diniz,Conrad,2024,10.0,HQ para todos,0,32,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/o_novo_sempre_vem.jpg,O novo sempre vem,Carol Ito,Conrad,2024,11.32,HQ para todos,0,32,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/9mm_de_distancia.jpg,9mm de distância,Paulo Bruno,Conrad,2023,12.5,HQ para todos,0,32,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/a_sala_de_espera_da_europa.jpg,A sala de espera da europa,Paulo Bruno,Conrad,2023,10.0,HQ para todos,0,32,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/a_noite_dos_palhacos_mudos.jpg,A noite dos palhaços mudos,Laerte,Conrad,2023,11.2,HQ para todos,0,32,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/uma_vida_chinesa_1.jpg,Uma vida chinesa 1,P. Ôtie,martinsfontes,2015,25.33,Uma vida chinesa,1,252,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/uma_vida_chinesa_2.jpg,Uma vida chinesa 2,P. Ôtie,martinsfontes,2015,29.0,Uma vida chinesa,1,193,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/uma_vida_chinesa_3.jpg,Uma vida chinesa 3,P. Ôtie,martinsfontes,2015,113.54,Uma vida chinesa,3,267,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/o_arabe_do_futuro_4.jpg,O árabe do futuro 4,Raid Sattouf,Intrínseca,2020,42.63,O Árabe do futuro,4,228,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/o_alcazar.jpg,O alcazar,Simon Lamouret,Nemo,2021,46.9,No collection,0,201,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/o_mundo_de_aisha.jpg,O mundo de aisha,Ugo Bertotti,Nemo,2020,32.0,No collection,0,135,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/kobane_calling.jpg,Kobane Calling,Zerocalcare,Nemo,2017,34.9,No collection,0,263,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/persepolis_completo.jpg,Persépolis completo,Marjane Satrapi,Quadrinhos na cia,2007,62.56,No collection,0,200,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/a_diferenca_invisivel.jpg,A diferença invisível,Mademoiselle Caroline,Nemo,2021,30.0,No collection,0,191,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/memorias_de_um_freixo.jpg,Memórias de um freixo,Kun-Woong Park,Conrad,2021,35.0,No collection,0,304,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/os_melhores_inimigos_1.jpg,Os melhores inimigos 1,Jean-Pierre Filiu,Ática,2012,23.22,Os melhores inimigos,1,128,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/reportagens.jpg,Reportagens,Joe Sacco,Quadrinhos na cia,2016,40.0,No collection,0,195,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/fax_de_sarajevo.jpg,Fax de Sarajevo,Joe Kubert,Quadrinhos Via Leitura,2016,79.9,No collection,0,207,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/a_infancia_do_brasil.jpg,A infância do Brasil,José Aguiar,Quadrinhos Via Leitura,2022,55.73,No collection,0,127,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/berlim.jpg,Berlim,Jason Lutes,Veneta,2020,144.3,No collection,0,592,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/o_fotografo_1.jpg,O fotógrafo 1,Emmanuel Guibert,Conrad,2006,32.13,O fotógrafo,1,86,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/o_fotografo_2.jpg,O fotógrafo 2,Emmanuel Guibert,Conrad,2008,37.52,O fotógrafo,2,86,Collection,no
